clip_id,subset,label
PAMD-00001,train,negative
PAMD-00002,train,negative
PAMD-00003,train,positive
PAMD-00004,train,positive
PAMD-00005,train,positive
PAMD-00006,train,positive
PAMD-00007,train,positive
PAMD-00008,train,positive
PAMD-00009,train,positive
PAMD-00010,train,positive
PAMD-00011,train,positive
PAMD-00012,train,positive
PAMD-00013,train,positive
PAMD-00014,train,positive
PAMD-00015,train,positive
PAMD-00016,test,positive
PAMD-00017,train,positive
PAMD-00018,train,positive
PAMD-00019,train,positive
PAMD-00020,train,positive
PAMD-00021,train,positive
PAMD-00022,train,positive
PAMD-00023,train,positive
PAMD-00024,train,positive
PAMD-00025,train,positive
PAMD-00026,train,positive
PAMD-00027,train,positive
PAMD-00028,train,positive
PAMD-00029,train,positive
PAMD-00030,train,positive
PAMD-00031,train,positive
PAMD-00032,train,positive
PAMD-00033,train,positive
PAMD-00034,train,positive
PAMD-00035,train,positive
PAMD-00036,train,positive
PAMD-00037,train,positive
PAMD-00038,train,positive
PAMD-00039,train,positive
PAMD-00040,train,positive
PAMD-00041,train,positive
PAMD-00042,train,positive
PAMD-00043,train,positive
PAMD-00044,train,positive
PAMD-00045,train,positive
PAMD-00046,train,positive
PAMD-00047,train,positive
PAMD-00048,train,positive
PAMD-00049,train,positive
PAMD-00050,train,positive
PAMD-00051,train,positive
PAMD-00052,test,positive
PAMD-00053,train,positive
PAMD-00054,train,positive
PAMD-00055,train,positive
PAMD-00056,test,positive
PAMD-00057,train,positive
PAMD-00058,train,positive
PAMD-00059,train,positive
PAMD-00060,train,positive
PAMD-00061,train,positive
PAMD-00062,train,positive
PAMD-00063,train,positive
PAMD-00064,train,positive
PAMD-00065,train,positive
PAMD-00066,train,negative
PAMD-00067,test,positive
PAMD-00068,test,positive
PAMD-00069,train,positive
PAMD-00070,train,positive
PAMD-00071,train,positive
PAMD-00072,train,positive
PAMD-00073,train,positive
PAMD-00074,train,positive
PAMD-00075,train,positive
PAMD-00076,train,positive
PAMD-00077,train,positive
PAMD-00078,train,positive
PAMD-00079,train,positive
PAMD-00080,train,positive
PAMD-00081,train,positive
PAMD-00082,train,positive
PAMD-00083,train,positive
PAMD-00084,test,positive
PAMD-00085,train,positive
PAMD-00086,train,positive
PAMD-00087,train,positive
PAMD-00088,train,positive
PAMD-00089,train,negative
PAMD-00090,train,negative
PAMD-00091,train,negative
PAMD-00092,train,negative
PAMD-00093,train,negative
PAMD-00094,train,negative
PAMD-00095,train,positive
PAMD-00096,train,positive
PAMD-00097,train,positive
PAMD-00098,train,negative
PAMD-00099,train,negative
PAMD-00100,train,negative
PAMD-00101,train,negative
PAMD-00102,train,negative
PAMD-00103,train,negative
PAMD-00104,train,positive
PAMD-00105,train,positive
PAMD-00106,train,positive
PAMD-00107,train,positive
PAMD-00108,train,positive
PAMD-00109,test,positive
PAMD-00110,train,positive
PAMD-00111,train,positive
PAMD-00112,train,positive
PAMD-00113,train,positive
PAMD-00114,train,positive
PAMD-00115,train,positive
PAMD-00116,train,positive
PAMD-00117,train,positive
PAMD-00118,train,positive
PAMD-00119,train,negative
PAMD-00120,test,positive
PAMD-00121,train,positive
PAMD-00122,train,positive
PAMD-00123,train,negative
PAMD-00124,train,positive
PAMD-00125,train,positive
PAMD-00126,train,negative
PAMD-00127,train,negative
PAMD-00128,train,positive
PAMD-00129,train,negative
PAMD-00130,test,negative
PAMD-00131,train,negative
PAMD-00132,train,negative
PAMD-00133,train,positive
PAMD-00134,train,negative
PAMD-00135,test,positive
PAMD-00136,train,negative
PAMD-00137,train,negative
PAMD-00138,train,negative
PAMD-00139,train,negative
PAMD-00140,train,negative
PAMD-00141,train,negative
PAMD-00142,test,positive
PAMD-00143,train,positive
PAMD-00144,train,positive
PAMD-00145,train,positive
PAMD-00146,train,positive
PAMD-00147,train,positive
PAMD-00148,train,negative
PAMD-00149,train,negative
PAMD-00150,train,positive
PAMD-00151,train,negative
PAMD-00152,train,positive
PAMD-00153,train,positive
PAMD-00154,train,negative
PAMD-00155,test,positive
PAMD-00156,train,positive
PAMD-00157,test,positive
PAMD-00158,train,positive
PAMD-00159,train,positive
PAMD-00160,train,negative
PAMD-00161,train,negative
PAMD-00162,train,negative
PAMD-00163,train,negative
PAMD-00164,train,negative
PAMD-00165,train,negative
PAMD-00166,train,negative
PAMD-00167,train,negative
PAMD-00168,train,positive
PAMD-00169,test,positive
PAMD-00170,train,positive
PAMD-00171,train,positive
PAMD-00172,train,positive
PAMD-00173,test,negative
PAMD-00174,train,negative
PAMD-00175,train,positive
PAMD-00176,train,positive
PAMD-00177,test,positive
PAMD-00178,test,positive
PAMD-00179,train,positive
PAMD-00180,train,positive
PAMD-00181,train,positive
PAMD-00182,train,positive
PAMD-00183,train,positive
PAMD-00184,train,positive
PAMD-00185,train,positive
PAMD-00186,train,positive
PAMD-00187,train,positive
PAMD-00188,train,positive
PAMD-00189,train,positive
PAMD-00190,train,positive
PAMD-00191,test,negative
PAMD-00192,train,negative
PAMD-00193,train,negative
PAMD-00194,train,negative
PAMD-00195,train,negative
PAMD-00196,test,negative
PAMD-00197,train,positive
PAMD-00198,test,negative
PAMD-00199,train,negative
PAMD-00200,train,negative
PAMD-00201,train,negative
PAMD-00202,train,negative
PAMD-00203,train,negative
PAMD-00204,train,positive
PAMD-00205,train,positive
PAMD-00206,train,negative
PAMD-00207,train,negative
PAMD-00208,train,negative
PAMD-00209,train,negative
PAMD-00210,train,negative
PAMD-00211,train,negative
PAMD-00212,train,negative
PAMD-00213,train,negative
PAMD-00214,train,negative
PAMD-00215,train,negative
PAMD-00216,train,positive
PAMD-00217,train,positive
PAMD-00218,train,negative
PAMD-00219,train,negative
PAMD-00220,train,negative
PAMD-00221,train,negative
PAMD-00222,train,negative
PAMD-00223,train,negative
PAMD-00224,train,negative
PAMD-00225,train,negative
PAMD-00226,train,negative
PAMD-00227,train,negative
PAMD-00228,train,negative
PAMD-00229,train,negative
PAMD-00230,train,positive
PAMD-00231,train,negative
PAMD-00232,train,negative
PAMD-00233,train,negative
PAMD-00234,train,negative
PAMD-00235,train,negative
PAMD-00236,train,negative
PAMD-00237,train,negative
PAMD-00238,train,negative
PAMD-00239,train,negative
PAMD-00240,train,negative
PAMD-00241,train,positive
PAMD-00242,train,negative
PAMD-00243,test,positive
PAMD-00244,train,negative
PAMD-00245,train,negative
PAMD-00246,train,positive
PAMD-00247,train,negative
PAMD-00248,test,positive
PAMD-00249,train,positive
PAMD-00250,train,positive
PAMD-00251,train,positive
PAMD-00252,train,positive
PAMD-00253,train,positive
PAMD-00254,train,positive
PAMD-00255,train,positive
PAMD-00256,train,positive
PAMD-00257,train,positive
PAMD-00258,train,positive
PAMD-00259,train,positive
PAMD-00260,test,negative
PAMD-00261,train,positive
PAMD-00262,train,positive
PAMD-00263,train,negative
PAMD-00264,train,negative
PAMD-00265,test,positive
PAMD-00266,train,positive
PAMD-00267,test,positive
PAMD-00268,test,positive
PAMD-00269,train,positive
PAMD-00270,train,positive
PAMD-00271,train,positive
PAMD-00272,train,positive
PAMD-00273,train,positive
PAMD-00274,train,positive
PAMD-00275,train,positive
PAMD-00276,test,positive
PAMD-00277,test,positive
PAMD-00278,train,positive
PAMD-00279,train,negative
PAMD-00280,train,negative
PAMD-00281,train,negative
PAMD-00282,train,negative
PAMD-00283,train,positive
PAMD-00284,train,positive
PAMD-00285,train,negative
PAMD-00286,train,negative
PAMD-00287,train,negative
PAMD-00288,train,negative
PAMD-00289,train,negative
PAMD-00290,train,positive
PAMD-00291,train,positive
PAMD-00292,train,positive
PAMD-00293,test,positive
PAMD-00294,train,positive
PAMD-00295,train,positive
PAMD-00296,train,positive
PAMD-00297,test,positive
PAMD-00298,train,positive
PAMD-00299,train,positive
PAMD-00300,train,positive
PAMD-00301,train,positive
PAMD-00302,train,positive
PAMD-00303,train,positive
PAMD-00304,train,positive
PAMD-00305,train,positive
PAMD-00306,train,positive
PAMD-00307,train,positive
PAMD-00308,train,positive
PAMD-00309,train,positive
PAMD-00310,train,positive
PAMD-00311,train,positive
PAMD-00312,train,positive
PAMD-00313,train,positive
PAMD-00314,train,positive
PAMD-00315,train,positive
PAMD-00316,test,positive
PAMD-00317,train,positive
PAMD-00318,train,positive
PAMD-00319,test,positive
PAMD-00320,train,positive
PAMD-00321,train,positive
PAMD-00322,test,positive
PAMD-00323,test,positive
PAMD-00324,train,positive
PAMD-00325,test,positive
PAMD-00326,train,positive
PAMD-00327,train,negative
PAMD-00328,train,negative
PAMD-00329,train,positive
PAMD-00330,train,positive
PAMD-00331,train,positive
PAMD-00332,train,positive
PAMD-00333,train,positive
PAMD-00334,train,positive
PAMD-00335,train,positive
PAMD-00336,train,positive
PAMD-00337,train,positive
PAMD-00338,train,positive
PAMD-00339,train,positive
PAMD-00340,train,positive
PAMD-00341,test,positive
PAMD-00342,train,negative
PAMD-00343,train,positive
PAMD-00344,train,positive
PAMD-00345,train,positive
PAMD-00346,train,negative
PAMD-00347,train,negative
PAMD-00348,test,negative
PAMD-00349,train,negative
PAMD-00350,test,negative
PAMD-00351,train,negative
PAMD-00352,train,negative
PAMD-00353,train,negative
PAMD-00354,train,negative
PAMD-00355,train,negative
PAMD-00356,train,negative
PAMD-00357,train,negative
PAMD-00358,train,negative
PAMD-00359,train,negative
PAMD-00360,train,negative
PAMD-00361,train,negative
PAMD-00362,train,negative
PAMD-00363,train,positive
PAMD-00364,train,positive
PAMD-00365,train,positive
PAMD-00366,train,positive
PAMD-00367,train,negative
PAMD-00368,train,negative
PAMD-00369,train,negative
PAMD-00370,train,negative
PAMD-00371,train,negative
PAMD-00372,train,negative
PAMD-00373,train,negative
PAMD-00374,test,negative
PAMD-00375,train,positive
PAMD-00376,train,positive
PAMD-00377,train,positive
PAMD-00378,train,positive
PAMD-00379,train,positive
PAMD-00380,train,positive
PAMD-00381,train,positive
PAMD-00382,train,positive
PAMD-00383,train,positive
PAMD-00384,train,positive
PAMD-00385,train,positive
PAMD-00386,train,positive
PAMD-00387,train,positive
PAMD-00388,train,positive
PAMD-00389,train,positive
PAMD-00390,train,positive
PAMD-00391,train,positive
PAMD-00392,train,positive
PAMD-00393,test,positive
PAMD-00394,train,positive
PAMD-00395,train,positive
PAMD-00396,train,negative
PAMD-00397,train,negative
PAMD-00398,train,positive
PAMD-00399,test,negative
PAMD-00400,train,negative
PAMD-00401,train,negative
PAMD-00402,train,negative
PAMD-00403,train,positive
PAMD-00404,train,negative
PAMD-00405,train,positive
PAMD-00406,train,positive
PAMD-00407,train,positive
PAMD-00408,train,positive
PAMD-00409,train,positive
PAMD-00410,train,positive
PAMD-00411,train,positive
PAMD-00412,test,positive
PAMD-00413,train,positive
PAMD-00414,train,positive
PAMD-00415,train,positive
PAMD-00416,test,positive
PAMD-00417,train,positive
PAMD-00418,test,positive
PAMD-00419,train,positive
PAMD-00420,train,positive
PAMD-00421,train,positive
PAMD-00422,train,positive
PAMD-00423,train,positive
PAMD-00424,train,negative
PAMD-00425,train,negative
PAMD-00426,train,positive
PAMD-00427,train,positive
PAMD-00428,train,positive
PAMD-00429,train,positive
PAMD-00430,train,positive
PAMD-00431,train,negative
PAMD-00432,train,negative
PAMD-00433,train,negative
PAMD-00434,train,negative
PAMD-00435,train,negative
PAMD-00436,train,negative
PAMD-00437,test,negative
PAMD-00438,train,positive
PAMD-00439,train,positive
PAMD-00440,train,positive
PAMD-00441,test,positive
PAMD-00442,train,positive
PAMD-00443,train,positive
PAMD-00444,train,positive
PAMD-00445,train,positive
PAMD-00446,test,negative
PAMD-00447,train,negative
PAMD-00448,train,positive
PAMD-00449,train,positive
PAMD-00450,train,negative
PAMD-00451,train,negative
PAMD-00452,train,negative
PAMD-00453,train,positive
PAMD-00454,train,negative
PAMD-00455,train,positive
PAMD-00456,train,positive
PAMD-00457,test,positive
PAMD-00458,train,positive
PAMD-00459,train,positive
PAMD-00460,train,negative
PAMD-00461,train,negative
PAMD-00462,train,negative
PAMD-00463,train,negative
PAMD-00464,test,negative
PAMD-00465,train,negative
PAMD-00466,train,negative
PAMD-00467,train,negative
PAMD-00468,train,negative
PAMD-00469,train,negative
PAMD-00470,test,negative
PAMD-00471,train,negative
PAMD-00472,train,negative
PAMD-00473,train,negative
PAMD-00474,train,negative
PAMD-00475,train,negative
PAMD-00476,train,negative
PAMD-00477,train,negative
PAMD-00478,train,negative
PAMD-00479,train,negative
PAMD-00480,train,positive
PAMD-00481,train,negative
PAMD-00482,train,positive
PAMD-00483,train,negative
PAMD-00484,train,negative
PAMD-00485,train,negative
PAMD-00486,train,negative
PAMD-00487,train,negative
PAMD-00488,train,negative
PAMD-00489,test,negative
PAMD-00490,train,negative
PAMD-00491,train,negative
PAMD-00492,train,negative
PAMD-00493,test,negative
PAMD-00494,test,negative
PAMD-00495,train,positive
PAMD-00496,train,positive
PAMD-00497,train,positive
PAMD-00498,train,positive
PAMD-00499,train,positive
PAMD-00500,train,positive
PAMD-00501,train,positive
PAMD-00502,train,negative
PAMD-00503,train,negative
PAMD-00504,train,negative
PAMD-00505,train,negative
PAMD-00506,train,negative
PAMD-00507,train,negative
PAMD-00508,train,positive
PAMD-00509,test,positive
PAMD-00510,train,negative
PAMD-00511,train,negative
PAMD-00512,train,negative
PAMD-00513,train,negative
PAMD-00514,train,positive
PAMD-00515,train,positive
PAMD-00516,train,positive
PAMD-00517,train,negative
PAMD-00518,train,negative
PAMD-00519,train,positive
PAMD-00520,train,positive
PAMD-00521,test,positive
PAMD-00522,train,negative
PAMD-00523,train,negative
PAMD-00524,train,negative
PAMD-00525,train,negative
PAMD-00526,train,negative
PAMD-00527,train,negative
PAMD-00528,train,positive
PAMD-00529,train,positive
PAMD-00530,test,positive
PAMD-00531,train,positive
PAMD-00532,train,negative
PAMD-00533,train,negative
PAMD-00534,test,positive
PAMD-00535,train,positive
PAMD-00536,train,positive
PAMD-00537,train,positive
PAMD-00538,train,negative
PAMD-00539,train,positive
PAMD-00540,train,positive
PAMD-00541,train,negative
PAMD-00542,train,positive
PAMD-00543,train,positive
PAMD-00544,train,positive
PAMD-00545,test,positive
PAMD-00546,train,positive
PAMD-00547,train,positive
PAMD-00548,train,positive
PAMD-00549,train,positive
PAMD-00550,train,positive
PAMD-00551,train,positive
PAMD-00552,train,positive
PAMD-00553,train,positive
PAMD-00554,train,positive
PAMD-00555,train,positive
PAMD-00556,train,positive
PAMD-00557,train,positive
PAMD-00558,train,positive
PAMD-00559,train,positive
PAMD-00560,train,positive
PAMD-00561,train,positive
PAMD-00562,train,positive
PAMD-00563,test,positive
PAMD-00564,train,positive
PAMD-00565,train,positive
PAMD-00566,test,positive
PAMD-00567,train,positive
PAMD-00568,train,positive
PAMD-00569,train,positive
PAMD-00570,train,positive
PAMD-00571,train,positive
PAMD-00572,train,positive
PAMD-00573,train,positive
PAMD-00574,train,positive
PAMD-00575,train,positive
PAMD-00576,test,positive
PAMD-00577,train,positive
PAMD-00578,test,positive
PAMD-00579,train,positive
PAMD-00580,train,positive
PAMD-00581,train,positive
PAMD-00582,train,positive
PAMD-00583,train,positive
PAMD-00584,train,positive
PAMD-00585,train,negative
PAMD-00586,train,negative
PAMD-00587,train,negative
PAMD-00588,train,negative
PAMD-00589,train,negative
PAMD-00590,train,negative
PAMD-00591,test,negative
PAMD-00592,train,negative
PAMD-00593,train,negative
PAMD-00594,test,negative
PAMD-00595,train,negative
PAMD-00596,test,negative
PAMD-00597,test,negative
PAMD-00598,train,negative
PAMD-00599,test,negative
PAMD-00600,train,negative
PAMD-00601,train,negative
PAMD-00602,train,negative
PAMD-00603,train,negative
PAMD-00604,train,negative
PAMD-00605,train,negative
PAMD-00606,train,negative
PAMD-00607,train,negative
PAMD-00608,train,negative
PAMD-00609,train,positive
PAMD-00610,train,negative
PAMD-00611,test,negative
PAMD-00612,train,negative
PAMD-00613,train,negative
PAMD-00614,train,negative
PAMD-00615,train,negative
PAMD-00616,train,negative
PAMD-00617,test,negative
PAMD-00618,train,negative
PAMD-00619,train,negative
PAMD-00620,train,negative
PAMD-00621,train,negative
PAMD-00622,train,negative
PAMD-00623,train,negative
PAMD-00624,train,negative
PAMD-00625,train,negative
PAMD-00626,train,negative
PAMD-00627,train,negative
PAMD-00628,train,positive
PAMD-00629,train,positive
PAMD-00630,train,negative
PAMD-00631,train,negative
PAMD-00632,train,negative
PAMD-00633,train,negative
PAMD-00634,train,negative
PAMD-00635,train,negative
PAMD-00636,test,negative
PAMD-00637,train,negative
PAMD-00638,train,negative
PAMD-00639,train,positive
PAMD-00640,train,positive
PAMD-00641,train,positive
PAMD-00642,train,positive
PAMD-00643,test,positive
PAMD-00644,train,negative
PAMD-00645,train,negative
PAMD-00646,train,negative
PAMD-00647,test,negative
PAMD-00648,train,negative
PAMD-00649,train,negative
PAMD-00650,train,negative
PAMD-00651,train,negative
PAMD-00652,test,negative
PAMD-00653,train,negative
PAMD-00654,train,negative
PAMD-00655,train,negative
PAMD-00656,train,positive
PAMD-00657,train,negative
PAMD-00658,train,negative
PAMD-00659,test,positive
PAMD-00660,train,negative
PAMD-00661,train,negative
PAMD-00662,train,negative
PAMD-00663,train,negative
PAMD-00664,test,negative
PAMD-00665,train,negative
PAMD-00666,train,negative
PAMD-00667,test,negative
PAMD-00668,train,negative
PAMD-00669,train,negative
PAMD-00670,train,negative
PAMD-00671,train,negative
PAMD-00672,train,negative
PAMD-00673,train,negative
PAMD-00674,train,negative
PAMD-00675,train,negative
PAMD-00676,train,negative
PAMD-00677,train,negative
PAMD-00678,test,negative
PAMD-00679,train,negative
PAMD-00680,test,negative
PAMD-00681,train,negative
PAMD-00682,train,negative
PAMD-00683,train,negative
PAMD-00684,train,negative
PAMD-00685,test,negative
PAMD-00686,train,negative
PAMD-00687,train,negative
PAMD-00688,train,negative
PAMD-00689,train,negative
PAMD-00690,train,negative
PAMD-00691,train,negative
PAMD-00692,train,negative
PAMD-00693,train,negative
PAMD-00694,train,negative
PAMD-00695,train,negative
PAMD-00696,train,negative
PAMD-00697,train,negative
PAMD-00698,train,negative
PAMD-00699,train,negative
PAMD-00700,train,negative
PAMD-00701,train,negative
PAMD-00702,train,negative
PAMD-00703,train,negative
PAMD-00704,test,negative
PAMD-00705,train,negative
PAMD-00706,train,negative
PAMD-00707,train,negative
PAMD-00708,train,negative
PAMD-00709,train,negative
PAMD-00710,train,negative
PAMD-00711,train,negative
PAMD-00712,train,negative
PAMD-00713,train,negative
PAMD-00714,train,negative
PAMD-00715,train,negative
PAMD-00716,train,negative
PAMD-00717,train,negative
PAMD-00718,train,negative
PAMD-00719,train,negative
PAMD-00720,train,negative
PAMD-00721,train,negative
PAMD-00722,train,negative
PAMD-00723,train,negative
PAMD-00724,train,negative
PAMD-00725,train,negative
PAMD-00726,train,negative
PAMD-00727,train,negative
PAMD-00728,test,negative
PAMD-00729,train,negative
PAMD-00730,train,negative
PAMD-00731,train,negative
PAMD-00732,train,negative
PAMD-00733,train,negative
PAMD-00734,train,negative
PAMD-00735,train,negative
PAMD-00736,train,negative
PAMD-00737,train,negative
PAMD-00738,train,negative
PAMD-00739,train,negative
PAMD-00740,train,negative
PAMD-00741,train,negative
PAMD-00742,test,negative
PAMD-00743,train,negative
PAMD-00744,train,negative
PAMD-00745,train,negative
PAMD-00746,train,positive
PAMD-00747,train,negative
PAMD-00748,train,negative
PAMD-00749,train,negative
PAMD-00750,train,negative
PAMD-00751,train,negative
PAMD-00752,train,negative
PAMD-00753,train,negative
PAMD-00754,train,negative
PAMD-00755,train,negative
PAMD-00756,train,negative
PAMD-00757,train,negative
PAMD-00758,train,negative
PAMD-00759,train,negative
PAMD-00760,train,negative
PAMD-00761,train,negative
PAMD-00762,test,negative
PAMD-00763,test,negative
PAMD-00764,test,negative
PAMD-00765,train,negative
PAMD-00766,train,negative
PAMD-00767,train,positive
PAMD-00768,train,positive
PAMD-00769,train,positive
PAMD-00770,train,positive
PAMD-00771,train,positive
PAMD-00772,train,positive
PAMD-00773,train,positive
PAMD-00774,test,negative
PAMD-00775,train,negative
PAMD-00776,train,negative
PAMD-00777,train,negative
PAMD-00778,train,negative
PAMD-00779,train,negative
PAMD-00780,train,negative
PAMD-00781,train,negative
PAMD-00782,train,negative
PAMD-00783,train,negative
PAMD-00784,train,negative
PAMD-00785,train,positive
PAMD-00786,train,positive
PAMD-00787,train,negative
PAMD-00788,train,negative
PAMD-00789,train,negative
PAMD-00790,train,negative
PAMD-00791,test,positive
PAMD-00792,train,negative
PAMD-00793,test,negative
PAMD-00794,test,negative
PAMD-00795,train,negative
PAMD-00796,train,negative
PAMD-00797,train,negative
PAMD-00798,test,negative
PAMD-00799,train,negative
PAMD-00800,train,negative
PAMD-00801,test,negative
PAMD-00802,test,negative
PAMD-00803,train,negative
PAMD-00804,train,negative
PAMD-00805,train,negative
PAMD-00806,train,negative
PAMD-00807,test,negative
PAMD-00808,train,negative
PAMD-00809,train,negative
