clip_id,subset
PAM-0001,train
PAM-0002,train
PAM-0003,test
PAM-0004,train
PAM-0005,test
PAM-0006,train
PAM-0007,train
PAM-0008,test
PAM-0009,train
PAM-0010,train
PAM-0011,train
PAM-0012,train
PAM-0013,train
PAM-0014,test
PAM-0015,train
PAM-0016,train
PAM-0017,test
PAM-0018,train
PAM-0019,train
PAM-0020,test
PAM-0021,train
PAM-0022,train
PAM-0023,train
PAM-0024,train
PAM-0025,train
PAM-0026,train
PAM-0027,test
PAM-0028,train
PAM-0029,train
PAM-0030,test
PAM-0031,test
PAM-0032,train
PAM-0033,train
PAM-0034,train
PAM-0035,train
PAM-0036,train
PAM-0037,train
PAM-0038,train
PAM-0039,train
PAM-0040,train
PAM-0041,train
PAM-0042,train
PAM-0043,train
PAM-0044,train
PAM-0045,train
PAM-0046,train
PAM-0047,train
PAM-0048,test
PAM-0049,train
PAM-0050,train
PAM-0051,test
PAM-0052,train
PAM-0053,train
PAM-0054,train
PAM-0055,train
PAM-0056,train
PAM-0057,train
PAM-0058,train
PAM-0059,train
PAM-0060,train
PAM-0061,train
PAM-0062,train
PAM-0063,train
PAM-0064,train
PAM-0065,train
PAM-0066,train
PAM-0067,train
PAM-0068,train
PAM-0069,train
PAM-0070,train
PAM-0071,train
PAM-0072,train
PAM-0073,train
PAM-0074,test
PAM-0075,train
PAM-0076,train
PAM-0077,train
PAM-0078,train
PAM-0079,train
PAM-0080,test
PAM-0081,train
PAM-0082,test
PAM-0083,train
PAM-0084,train
PAM-0085,train
PAM-0086,test
PAM-0087,test
PAM-0088,train
PAM-0089,train
PAM-0090,train
PAM-0091,test
PAM-0092,train
PAM-0093,train
PAM-0094,train
PAM-0095,train
PAM-0096,train
PAM-0097,train
PAM-0098,train
PAM-0099,train
PAM-0100,train
PAM-0101,train
PAM-0102,train
PAM-0103,test
PAM-0104,test
PAM-0105,test
PAM-0106,train
PAM-0107,train
PAM-0108,train
PAM-0109,test
PAM-0110,train
PAM-0111,train
PAM-0112,train
PAM-0113,train
PAM-0114,train
PAM-0115,train
PAM-0116,train
PAM-0117,test
PAM-0118,test
PAM-0119,train
PAM-0120,test
PAM-0121,test
PAM-0122,train
PAM-0123,test
PAM-0124,train
PAM-0125,test
PAM-0126,train
PAM-0127,train
PAM-0128,train
PAM-0129,test
PAM-0130,train
PAM-0131,test
PAM-0132,test
PAM-0133,train
PAM-0134,train
PAM-0135,train
PAM-0136,train
PAM-0137,train
PAM-0138,train
PAM-0139,train
PAM-0140,test
PAM-0141,test
PAM-0142,train
PAM-0143,train
PAM-0144,train
PAM-0145,train
PAM-0146,train
PAM-0147,train
PAM-0148,train
PAM-0149,test
PAM-0150,train
PAM-0151,test
PAM-0152,train
PAM-0153,train
PAM-0154,train
PAM-0155,test
PAM-0156,train
PAM-0157,train
PAM-0158,train
PAM-0159,train
PAM-0160,train
PAM-0161,train
PAM-0162,train
PAM-0163,train
PAM-0164,train
PAM-0165,test
PAM-0166,train
PAM-0167,train
PAM-0168,test
PAM-0169,train
PAM-0170,train
PAM-0171,train
PAM-0172,train
PAM-0173,train
PAM-0174,train
PAM-0175,train
PAM-0176,train
PAM-0177,train
PAM-0178,test
PAM-0179,train
PAM-0180,train
PAM-0181,train
PAM-0182,train
PAM-0183,train
PAM-0184,train
PAM-0185,train
PAM-0186,train
PAM-0187,train
PAM-0188,test
PAM-0189,train
PAM-0190,test
PAM-0191,train
PAM-0192,test
PAM-0193,test
PAM-0194,train
PAM-0195,train
PAM-0196,train
PAM-0197,train
PAM-0198,train
PAM-0199,train
PAM-0200,train
PAM-0201,test
PAM-0202,train
PAM-0203,train
PAM-0204,train
PAM-0205,test
PAM-0206,train
PAM-0207,train
PAM-0208,train
PAM-0209,train
PAM-0210,train
PAM-0211,test
PAM-0212,train
PAM-0213,test
PAM-0214,train
PAM-0215,train
PAM-0216,train
PAM-0217,train
PAM-0218,train
PAM-0219,train
PAM-0220,test
PAM-0221,train
PAM-0222,test
PAM-0223,train
PAM-0224,train
PAM-0225,train
PAM-0226,train
PAM-0227,train
PAM-0228,train
PAM-0229,train
PAM-0230,test
PAM-0231,train
PAM-0232,train
PAM-0233,train
PAM-0234,train
PAM-0235,train
PAM-0236,train
PAM-0237,test
PAM-0238,test
PAM-0239,train
PAM-0240,train
PAM-0241,train
PAM-0242,test
PAM-0243,train
PAM-0244,train
PAM-0245,train
PAM-0246,test
PAM-0247,train
PAM-0248,train
PAM-0249,test
PAM-0250,train
PAM-0251,train
PAM-0252,train
PAM-0253,train
PAM-0254,train
PAM-0255,train
PAM-0256,train
PAM-0257,train
PAM-0258,train
PAM-0259,train
PAM-0260,train
PAM-0261,test
PAM-0262,test
PAM-0263,test
PAM-0264,train
PAM-0265,train
PAM-0266,train
PAM-0267,train
PAM-0268,test
PAM-0269,test
PAM-0270,train
PAM-0271,train
PAM-0272,test
PAM-0273,train
PAM-0274,train
PAM-0275,train
PAM-0276,test
PAM-0277,test
PAM-0278,train
PAM-0279,train
PAM-0280,train
PAM-0281,train
PAM-0282,train
PAM-0283,train
PAM-0284,test
PAM-0285,test
PAM-0286,train
PAM-0287,train
PAM-0288,train
PAM-0289,train
PAM-0290,train
PAM-0291,test
PAM-0292,train
PAM-0293,test
PAM-0294,train
PAM-0295,train
PAM-0296,train
PAM-0297,train
PAM-0298,train
PAM-0299,train
PAM-0300,train
PAM-0301,train
PAM-0302,train
PAM-0303,train
PAM-0304,test
PAM-0305,train
PAM-0306,test
PAM-0307,train
PAM-0308,train
PAM-0309,train
PAM-0310,train
PAM-0311,train
PAM-0312,train
PAM-0313,train
PAM-0314,train
PAM-0315,train
PAM-0316,train
PAM-0317,test
PAM-0318,test
PAM-0319,test
PAM-0320,train
PAM-0321,train
PAM-0322,train
PAM-0323,test
PAM-0324,test
PAM-0325,train
PAM-0326,train
PAM-0327,test
PAM-0328,train
PAM-0329,train
PAM-0330,train
PAM-0331,test
PAM-0332,train
PAM-0333,test
PAM-0334,train
PAM-0335,train
PAM-0336,train
PAM-0337,train
PAM-0338,test
PAM-0339,train
PAM-0340,train
PAM-0341,test
PAM-0342,train
PAM-0343,train
PAM-0344,train
PAM-0345,train
PAM-0346,train
PAM-0347,train
PAM-0348,train
PAM-0349,train
PAM-0350,train
PAM-0351,test
PAM-0352,train
PAM-0353,train
PAM-0354,train
PAM-0355,train
PAM-0356,train
PAM-0357,test
PAM-0358,train
PAM-0359,train
PAM-0360,train
PAM-0361,train
PAM-0362,train
PAM-0363,test
PAM-0364,train
PAM-0365,train
PAM-0366,train
PAM-0367,train
PAM-0368,test
PAM-0369,train
PAM-0370,train
PAM-0371,train
PAM-0372,train
PAM-0373,test
PAM-0374,train
PAM-0375,train
PAM-0376,train
PAM-0377,train
PAM-0378,train
PAM-0379,train
PAM-0380,test
PAM-0381,test
PAM-0382,train
PAM-0383,train
PAM-0384,test
PAM-0385,train
PAM-0386,train
PAM-0387,test
PAM-0388,train
PAM-0389,test
PAM-0390,train
PAM-0391,train
PAM-0392,train
PAM-0393,train
PAM-0394,train
PAM-0395,train
PAM-0396,train
PAM-0397,test
PAM-0398,test
PAM-0399,train
PAM-0400,train
PAM-0401,train
PAM-0402,train
PAM-0403,train
PAM-0404,test
PAM-0405,train
PAM-0406,train
PAM-0407,train
PAM-0408,train
PAM-0409,train
PAM-0410,train
PAM-0411,train
PAM-0412,train
PAM-0413,train
PAM-0414,test
PAM-0415,train
PAM-0416,train
PAM-0417,test
PAM-0418,train
PAM-0419,test
PAM-0420,test
PAM-0421,train
PAM-0422,train
PAM-0423,train
PAM-0424,train
PAM-0425,train
PAM-0426,train
PAM-0427,train
PAM-0428,train
PAM-0429,train
PAM-0430,train
PAM-0431,test
PAM-0432,test
PAM-0433,train
PAM-0434,train
PAM-0435,train
PAM-0436,test
PAM-0437,test
PAM-0438,test
PAM-0439,train
PAM-0440,train
PAM-0441,train
PAM-0442,train
PAM-0443,train
PAM-0444,train
PAM-0445,train
PAM-0446,test
PAM-0447,train
PAM-0448,test
PAM-0449,train
PAM-0450,test
PAM-0451,train
PAM-0452,train
PAM-0453,train
PAM-0454,train
PAM-0455,train
PAM-0456,train
PAM-0457,test
PAM-0458,train
PAM-0459,test
PAM-0460,train
PAM-0461,train
PAM-0462,train
PAM-0463,train
PAM-0464,train
PAM-0465,train
PAM-0466,train
PAM-0467,train
PAM-0468,train
PAM-0469,train
PAM-0470,test
PAM-0471,train
PAM-0472,train
PAM-0473,train
PAM-0474,train
PAM-0475,train
PAM-0476,train
PAM-0477,train
PAM-0478,train
PAM-0479,train
PAM-0480,train
PAM-0481,train
PAM-0482,test
PAM-0483,train
PAM-0484,train
PAM-0485,test
PAM-0486,train
PAM-0487,train
PAM-0488,train
PAM-0489,test
PAM-0490,train
PAM-0491,train
PAM-0492,train
PAM-0493,train
PAM-0494,train
PAM-0495,train
PAM-0496,test
PAM-0497,train
PAM-0498,train
PAM-0499,train
PAM-0500,train
PAM-0501,test
PAM-0502,train
PAM-0503,train
PAM-0504,train
PAM-0505,test
PAM-0506,train
PAM-0507,train
PAM-0508,train
PAM-0509,train
PAM-0510,train
PAM-0511,train
PAM-0512,test
PAM-0513,train
PAM-0514,train
PAM-0515,test
PAM-0516,test
PAM-0517,train
PAM-0518,train
PAM-0519,train
PAM-0520,train
PAM-0521,train
PAM-0522,train
PAM-0523,train
PAM-0524,train
PAM-0525,train
PAM-0526,test
PAM-0527,train
PAM-0528,train
PAM-0529,train
PAM-0530,train
PAM-0531,train
PAM-0532,train
PAM-0533,train
PAM-0534,train
PAM-0535,test
PAM-0536,train
PAM-0537,test
PAM-0538,train
PAM-0539,train
PAM-0540,train
PAM-0541,test
PAM-0542,test
PAM-0543,train
PAM-0544,test
PAM-0545,train
PAM-0546,train
PAM-0547,train
PAM-0548,train
PAM-0549,train
PAM-0550,train
PAM-0551,train
PAM-0552,train
PAM-0553,train
PAM-0554,train
PAM-0555,train
PAM-0556,train
PAM-0557,train
PAM-0558,test
PAM-0559,train
PAM-0560,train
PAM-0561,train
PAM-0562,train
PAM-0563,train
PAM-0564,train
PAM-0565,train
PAM-0566,train
PAM-0567,test
PAM-0568,train
PAM-0569,train
PAM-0570,train
PAM-0571,train
PAM-0572,test
PAM-0573,train
PAM-0574,train
PAM-0575,test
PAM-0576,train
PAM-0577,train
PAM-0578,test
PAM-0579,train
PAM-0580,train
PAM-0581,train
PAM-0582,train
PAM-0583,train
PAM-0584,test
PAM-0585,test
PAM-0586,test
PAM-0587,train
PAM-0588,train
PAM-0589,train
PAM-0590,train
PAM-0591,train
PAM-0592,train
PAM-0593,train
PAM-0594,train
PAM-0595,train
PAM-0596,train
PAM-0597,train
PAM-0598,train
PAM-0599,train
PAM-0600,train
PAM-0601,train
PAM-0602,train
PAM-0603,train
PAM-0604,train
PAM-0605,train
PAM-0606,train
PAM-0607,train
PAM-0608,test
PAM-0609,train
PAM-0610,train
PAM-0611,train
PAM-0612,train
PAM-0613,train
PAM-0614,test
PAM-0615,test
PAM-0616,train
PAM-0617,train
PAM-0618,train
PAM-0619,train
PAM-0620,test
PAM-0621,train
PAM-0622,train
PAM-0623,train
PAM-0624,train
PAM-0625,train
PAM-0626,train
PAM-0627,test
PAM-0628,train
PAM-0629,train
PAM-0630,train
PAM-0631,train
PAM-0632,test
PAM-0633,train
PAM-0634,train
PAM-0635,train
PAM-0636,train
PAM-0637,test
PAM-0638,train
PAM-0639,train
PAM-0640,train
PAM-0641,train
PAM-0642,train
PAM-0643,test
PAM-0644,test
PAM-0645,train
PAM-0646,train
PAM-0647,train
PAM-0648,test
PAM-0649,train
PAM-0650,train
PAM-0651,train
PAM-0652,train
PAM-0653,train
PAM-0654,test
PAM-0655,train
PAM-0656,test
PAM-0657,train
PAM-0658,train
PAM-0659,train
PAM-0660,train
PAM-0661,train
PAM-0662,test
PAM-0663,train
PAM-0664,train
PAM-0665,train
PAM-0666,train
PAM-0667,test
PAM-0668,train
PAM-0669,train
PAM-0670,test
PAM-0671,train
PAM-0672,train
PAM-0673,train
PAM-0674,train
PAM-0675,train
PAM-0676,train
PAM-0677,test
PAM-0678,train
PAM-0679,train
PAM-0680,train
PAM-0681,test
PAM-0682,train
PAM-0683,train
PAM-0684,test
PAM-0685,train
PAM-0686,train
PAM-0687,train
PAM-0688,train
PAM-0689,train
PAM-0690,train
PAM-0691,train
PAM-0692,train
PAM-0693,train
PAM-0694,train
PAM-0695,train
PAM-0696,train
PAM-0697,train
PAM-0698,train
PAM-0699,train
PAM-0700,train
PAM-0701,test
PAM-0702,train
PAM-0703,test
PAM-0704,train
PAM-0705,train
PAM-0706,train
PAM-0707,train
PAM-0708,train
PAM-0709,train
PAM-0710,train
PAM-0711,train
PAM-0712,train
PAM-0713,train
PAM-0714,train
PAM-0715,test
PAM-0716,train
PAM-0717,train
PAM-0718,train
PAM-0719,train
PAM-0720,train
PAM-0721,train
PAM-0722,train
